tanggal_lengkap,cabe_rawit_merah,lag_1
2023-01-02,80000.0,80000.0
2023-01-03,80000.0,80000.0
2023-01-04,83000.0,80000.0
2023-01-05,85000.0,83000.0
2023-01-06,85000.0,85000.0
2023-01-07,85000.0,85000.0
2023-01-08,85000.0,85000.0
2023-01-09,85000.0,85000.0
2023-01-10,85000.0,85000.0
2023-01-11,85000.0,85000.0
2023-01-12,85000.0,85000.0
2023-01-13,88000.0,85000.0
2023-01-14,88000.0,88000.0
2023-01-15,75000.0,88000.0
2023-01-16,75000.0,75000.0
2023-01-17,75000.0,75000.0
2023-01-18,75000.0,75000.0
2023-01-19,75000.0,75000.0
2023-01-20,73000.0,75000.0
2023-01-21,73000.0,73000.0
2023-01-22,70000.0,73000.0
2023-01-23,70000.0,70000.0
2023-01-24,70000.0,70000.0
2023-01-25,70000.0,70000.0
2023-01-26,70000.0,70000.0
2023-01-27,70000.0,70000.0
2023-01-28,70000.0,70000.0
2023-01-29,70000.0,70000.0
2023-01-30,75000.0,70000.0
2023-01-31,70000.0,75000.0
2023-02-01,50000.0,70000.0
2023-02-02,50000.0,50000.0
2023-02-03,45000.0,50000.0
2023-02-04,45000.0,45000.0
2023-02-05,45000.0,45000.0
2023-02-06,55000.0,45000.0
2023-02-07,56000.0,55000.0
2023-02-08,50000.0,56000.0
2023-02-09,50000.0,50000.0
2023-02-10,50000.0,50000.0
2023-02-11,50000.0,50000.0
2023-02-12,50000.0,50000.0
2023-02-13,60000.0,50000.0
2023-02-14,56000.0,60000.0
2023-02-15,56000.0,56000.0
2023-02-16,56000.0,56000.0
2023-02-17,56000.0,56000.0
2023-02-18,56000.0,56000.0
2023-02-19,56000.0,56000.0
2023-02-20,56000.0,56000.0
2023-02-21,56000.0,56000.0
2023-02-22,57000.0,56000.0
2023-02-23,62000.0,57000.0
2023-02-24,62000.0,62000.0
2023-02-25,62000.0,62000.0
2023-02-26,55000.0,62000.0
2023-02-27,55000.0,55000.0
2023-02-28,55000.0,55000.0
2023-03-01,55000.0,55000.0
2023-03-02,55000.0,55000.0
2023-03-03,70000.0,55000.0
2023-03-04,70000.0,70000.0
2023-03-05,70000.0,70000.0
2023-03-06,70000.0,70000.0
2023-03-07,70000.0,70000.0
2023-03-08,70000.0,70000.0
2023-03-09,70000.0,70000.0
2023-03-10,70000.0,70000.0
2023-03-11,70000.0,70000.0
2023-03-12,70000.0,70000.0
2023-03-13,75000.0,70000.0
2023-03-14,75000.0,75000.0
2023-03-15,73000.0,75000.0
2023-03-16,73000.0,73000.0
2023-03-17,73000.0,73000.0
2023-03-18,70000.0,73000.0
2023-03-19,70000.0,70000.0
2023-03-20,75000.0,70000.0
2023-03-21,75000.0,75000.0
2023-03-22,75000.0,75000.0
2023-03-23,75000.0,75000.0
2023-03-24,70000.0,75000.0
2023-03-25,70000.0,70000.0
2023-03-26,70000.0,70000.0
2023-03-27,45000.0,70000.0
2023-03-28,30000.0,45000.0
2023-03-29,45000.0,30000.0
2023-03-30,45000.0,45000.0
2023-03-31,45000.0,45000.0
2023-04-01,25000.0,45000.0
2023-04-02,25000.0,25000.0
2023-04-03,25000.0,25000.0
2023-04-04,24000.0,25000.0
2023-04-05,20000.0,24000.0
2023-04-06,20000.0,20000.0
2023-04-07,20000.0,20000.0
2023-04-08,28000.0,20000.0
2023-04-09,28000.0,28000.0
2023-04-10,30000.0,28000.0
2023-04-11,30000.0,30000.0
2023-04-12,27000.0,30000.0
2023-04-13,27000.0,27000.0
